- [ ] https://job-boards.greenhouse.io/humeai/jobs/4775962008 | Hume AI | AI Researcher | NYC, San Jose, or Remote | posted: 2025-06-20
- [ ] https://jobs.ashbyhq.com/decagon/476e3152-3f9a-48ea-89bd-30516bccead7 | Decagon | Agent Development Manager | New York City | posted: 2026-01-22
- [ ] https://jobs.ashbyhq.com/decagon/a81a1a50-d497-4dff-8105-c7a890310396 | Decagon | Solutions Architect - Infrastructure | San Francisco | posted: 2025-09-24
- [ ] https://jobs.ashbyhq.com/decagon/28366d07-ae89-428c-8593-1840591bfc18 | Decagon | Software Engineer, Agents | London | posted: 2026-05-06
- [ ] https://jobs.ashbyhq.com/decagon/7df0a996-5a9f-496f-9f8b-c302983765b2 | Decagon | Staff Software Engineer, Agent Platform | San Francisco | posted: 2025-12-01
- [ ] https://jobs.ashbyhq.com/decagon/2351ca53-b7fd-4835-b967-4ae2b976b5b4 | Decagon | Staff Software Engineer, Voice Agent | San Francisco | posted: 2025-12-01
- [ ] https://jobs.ashbyhq.com/decagon/75f544ae-7838-4ffa-9e6b-33d7e2b6ea2b | Decagon | Senior Software Engineer, Agent Platform | San Francisco | posted: 2025-11-19
- [ ] https://jobs.ashbyhq.com/decagon/7ae498c6-750d-43ab-8ad2-ab05b75684eb | Decagon | Agent Strategy Manager | San Francisco | posted: 2026-04-08
- [ ] https://jobs.ashbyhq.com/decagon/83267854-2ea8-4322-8ba3-88c2dcb086a5 | Decagon | Solutions Architect - Salesforce | San Francisco | posted: 2026-01-12
- [ ] https://jobs.ashbyhq.com/decagon/3aa855e4-164b-4246-aaa0-b602339bfe06 | Decagon | Director of Agent Deployment Engineering | San Francisco | posted: 2026-02-07
- [ ] https://jobs.ashbyhq.com/decagon/8c40fb7a-5f25-4112-a1df-f1c22b81042c | Decagon | Agent Deployment Engineer | San Francisco | posted: 2026-01-20
- [ ] https://jobs.ashbyhq.com/decagon/491d67c4-b877-4ddc-895a-496eed6777ed | Decagon | Senior Software Engineer, AI Developer Experience | San Francisco · New York City · New York · United States | posted: 2026-02-11
- [ ] https://jobs.ashbyhq.com/decagon/6431a6f9-2ebe-4b68-beb6-200b42aeeca8 | Decagon | Strategic Solutions Engineer, East | Remote | posted: 2026-07-01
- [ ] https://jobs.ashbyhq.com/decagon/78745829-74ee-41cb-836c-480ca7bf9edc | Decagon | Strategic Solutions Engineer, West | Remote | posted: 2026-03-13
- [ ] https://jobs.ashbyhq.com/decagon/95dadea4-8bd2-421a-bf3f-51c04e102ee2 | Decagon | Enterprise Solutions Engineer | Australia | posted: 2026-03-24
- [ ] https://jobs.ashbyhq.com/decagon/2f64e63b-e825-4fdc-89be-978ae22e4ad4 | Decagon | Engineering Manager, Agent Product | San Francisco | posted: 2026-07-27
- [ ] https://jobs.ashbyhq.com/decagon/d53738b5-ca10-4283-be5a-3937aa9e7c59 | Decagon | Senior Agent Product Manager - German Speaking | London | posted: 2026-05-11
- [ ] https://jobs.ashbyhq.com/decagon/834d9a8b-4f7f-416a-9953-05d93c326a5f | Decagon | Staff Software Engineer, Agent Product | San Francisco | posted: 2026-06-18
- [ ] https://jobs.ashbyhq.com/decagon/e3c895d1-c215-4524-8b38-cad7209291ec | Decagon | Agent Strategy Manager - German Speaking | London | posted: 2026-05-28
- [ ] https://jobs.ashbyhq.com/decagon/9686ca93-1073-48f1-bc2a-af241eba83d1 | Decagon | Director of Solutions Engineering - EMEA Enterprise | London | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/decagon/ab6a5dac-d63b-4862-bc12-c5c9525b6f8b | Decagon | Director of Solutions Engineering - EMEA Strat | London | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/decagon/2059c9be-8da0-49a5-9849-e45f6f6a14d8 | Decagon | Agent Deployment Engineer - German Speaking | London | posted: 2026-07-21
- [ ] https://jobs.ashbyhq.com/decagon/3b52f574-3cc3-4db9-ac2e-2c78389a1377 | Decagon | Agent Deployment Engineer - French Speaking | London | posted: 2026-07-21
- [ ] https://jobs.ashbyhq.com/decagon/78680ef6-798f-4511-98de-d60c8c6d909b | Decagon | Agent Deployment Engineer - Spanish Speaking | San Francisco | posted: 2026-07-21
- [ ] https://jobs.ashbyhq.com/decagon/4f705fac-4c33-427e-83d1-960a45947cb6 | Decagon | Agent Education Manager | San Francisco · New York City · New York · United States | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/decagon/e27fcbdf-891c-4b2f-9c47-d2bdc26eb2d4 | Decagon | Product Manager, Enterprise Agent Platform | San Francisco | posted: 2026-08-08
- [ ] https://jobs.ashbyhq.com/decagon/95524337-b5e7-4156-9022-af5c192f174d | Decagon | Senior Agent Product Manager, Healthcare | New York City · San Francisco · United States | posted: 2026-08-11
- [ ] https://jobs.ashbyhq.com/decagon/08b34a9e-6e98-40f3-9a81-ee6667bef97b | Decagon | Agent Experience Designer | San Francisco · New York City · New York · United States | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/decagon/5433ff3a-9a7c-406b-9dd8-23094141b907 | Decagon | Agent Data Scientist | San Francisco | posted: 2026-08-20
- [ ] https://jobs.ashbyhq.com/zapier/38434b88-086c-424b-8d18-8d006e0b71b8 | Zapier | Engineer, Applied AI | NAMER · EMEA · Remote | posted: 2026-06-30
- [ ] https://jobs.ashbyhq.com/n8n/d195a389-6af5-4b95-82e5-2258953c7297 | n8n | Sr AI Engineer / Remote - Europe / TS/Vue/NodeJS | Berlin Office · Romania · Norway · Estonia · Latvia · Slovenia · Netherlands · Hungary · Portugal · Poland · Serbia · Austria · Finland · London Office · London · United Kingdom · Albania · Lithuania · Slovakia · Ireland · Bulgaria · Denmark · Belgium · Czech Republic · Croatia · Spain · Greece · Remote | posted: 2026-05-28
- [ ] https://jobs.ashbyhq.com/n8n/443fd5c2-6501-45cf-b8c8-851fe94d48f9 | n8n | Head of Solutions Engineering | Berlin Office · California · United States · Netherlands · New York · Portugal · Massachusetts · Germany · Boston · Ireland · San Francisco · United Kingdom · Spain · Texas · Remote | posted: 2026-07-28
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4724189005 | Glean | AI Data Analyst | Bangalore, India | posted: 2026-08-24
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4661886005 | Glean | AI Success Manager, Central | Nashville, TN | posted: 2026-02-13
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4661879005 | Glean | AI Success Manager, East | New York, NY | posted: 2026-02-13
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4705011005 | Glean | AI Success Manager (US East Customer Hours) | Bangalore, India | posted: 2026-06-16
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4705017005 | Glean | AI Success Manager (US West Customer Hours) | Bangalore, India | posted: 2026-06-16
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4694340005 | Glean | AI Success Manager, West | San Francisco, CA | posted: 2026-05-15
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4654833005 | Glean | Lead Site Reliability Engineer | Mountain View, CA | posted: 2026-02-03
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4525297005 | Glean | Product Manager, Agent Security & Governance | Mountain View, CA | posted: 2025-02-05
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4525518005 | Glean | Product Manager, AI Quality | San Francisco, CA | posted: 2025-02-05
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4591195005 | Glean | Public Sector Solutions Engineer, SLED | Washington, DC | posted: 2025-07-29
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4712442005 | Glean | Software Engineer, Agents | Bangalore, India | posted: 2026-07-10
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4712434005 | Glean | Software Engineer, Agents Governance | Bangalore, India | posted: 2026-07-09
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4605446005 | Glean | Software Engineer, AI & Security | Mountain View, CA | posted: 2025-09-04
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4501783005 | Glean | Software Engineer, LLM Infrastructure | Mountain View, CA | posted: 2024-11-26
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4676087005 | Glean | Solutions Engineering Manager, APAC | Bangalore, India | posted: 2026-03-24
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4614349005 | Glean | Strategic Solutions Engineer, SF Bay Area | San Francisco, CA | posted: 2025-11-18
- [ ] https://job-boards.greenhouse.io/gleanwork/jobs/4722386005 | Glean | Strategic Solutions Engineer, West | Remote · Mountain View, CA (HQ) | posted: 2026-08-07
- [ ] https://job-boards.eu.greenhouse.io/polyai/jobs/4891112101 | PolyAI | Senior Agent Design Engineer | United States | posted: 2026-06-09
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6141036004 | Boomi | AI & Business Transformation Lead - EMEA | Netherlands | posted: 2026-08-11
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6017864004 | Boomi | Analytics & AI Specialist (Talent Acquisition) | Canada | posted: 2026-07-16
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6092682004 | Boomi | Director, Enterprise AI Data | United States of America | posted: 2026-06-22
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6135436004 | Boomi | Endpoint management and IT Automation - Advisor i7 - IT Infrastructure | India | posted: 2026-08-10
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6001125004 | Boomi | Lead AI Field Architect | United States of America | posted: 2026-07-01
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6098936004 | Boomi | Principal, Strategic AI Advisory | Australia | posted: 2026-07-01
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6098938004 | Boomi | Principal, Strategic AI Advisory EMEA | United Kingdom | posted: 2026-06-26
- [ ] https://boomi.com/boomi-jobs/?gh_jid=5779584004 | Boomi | Senior Data Engineer - Agentic AI Engineering | United States of America | posted: 2026-03-06
- [ ] https://boomi.com/boomi-jobs/?gh_jid=6004434004 | Boomi | Senior Presales Solutions Engineer | United States of America | posted: 2026-08-14
- [ ] https://jobs.ashbyhq.com/langchain/afb91b9b-46d5-4c9d-aa84-a4f1a3f74263 | LangChain | Senior Frontend Engineer, AI Observability & Evals Platform | San Francisco, CA · Boston, MA · Cambridge · United States · New York, NY · New York | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/langchain/e1263bfe-b638-4019-b4d5-0aacca93b2b3 | LangChain | Software Engineering Manager, AI Observability & Evals Platform (New York, NY) | New York, NY | posted: 2026-06-11
- [ ] https://jobs.ashbyhq.com/langchain/a03b3e54-495d-4960-aee7-0194a3cef57d | LangChain | Senior Fullstack Engineer, AI Observability & Evals Platform | San Francisco, CA · Boston, MA · Cambridge · United States · New York, NY · New York | posted: 2025-02-19
- [ ] https://jobs.ashbyhq.com/langchain/ddf92275-1cc3-49c0-9f25-e8ded43b07f6 | LangChain | FullStack Engineer, AI Observability & Evals Platform (LangSmith) | San Francisco, CA · Boston, MA · Cambridge · United States · New York, NY · New York | posted: 2025-08-15
- [ ] https://jobs.ashbyhq.com/langchain/f7de4819-e7aa-4dfb-9acd-8b81ad8caf2c | LangChain | Frontend Engineer, AI Observability & Evals Platform | San Francisco, CA · Boston, MA · Cambridge · United States · New York, NY · New York | posted: 2026-08-12
- [ ] https://jobs.ashbyhq.com/langchain/f07c1416-f126-4925-8606-5dd7c5a90f6f | LangChain | Senior Backend Software Engineer, AI Observability & Evals Platform (LangSmith) | San Francisco, CA · Boston, MA · Cambridge · United States · New York, NY · New York | posted: 2026-01-08
- [ ] https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d | LangChain | Fullstack Software Engineer, Applied AI | San Francisco, CA · New York, NY · New York · United States | posted: 2025-09-12
- [ ] https://jobs.ashbyhq.com/langchain/5f5f8239-603c-47ca-a1ee-5a7ed34b502d | LangChain | Deployed Engineer (UK) | London | posted: 2026-01-18
- [ ] https://jobs.ashbyhq.com/langchain/33f6d721-f75f-4fcc-8df9-e2a13c018e1c | LangChain | Software Engineering Manager, AI Observability & Evals Platform (San Francisco, CA) | San Francisco, CA | posted: 2026-02-06
- [ ] https://jobs.ashbyhq.com/langchain/8b533cc4-6654-44b4-b3fc-004def2a9927 | LangChain | Deployed Engineer (Dallas) | Dallas, TX · Remote | posted: 2026-08-03
- [ ] https://jobs.ashbyhq.com/langchain/6eecbcda-d94f-4700-b8c7-ce54cb212290 | LangChain | Deployed Engineer (Federal) | Washington DC · Remote | posted: 2026-08-24
- [ ] https://jobs.ashbyhq.com/langchain/3e31c750-67f2-4d3d-ac29-48a2b57cf4bd | LangChain | Deployed Engineer (Atlanta) | Atlanta, GA | posted: 2026-08-22
- [ ] https://jobs.ashbyhq.com/langchain/d7454c6d-7025-4e46-befc-e23bedd8f452 | LangChain | Deployed Engineer (Charlotte) | Charlotte, NC · Remote | posted: 2026-04-14
- [ ] https://jobs.ashbyhq.com/langchain/733417d6-7b74-4260-95d9-3cabf85ce0b8 | LangChain | Deployed Engineer (Raleigh) | Raleigh, NC · Remote | posted: 2026-04-14
- [ ] https://jobs.ashbyhq.com/langchain/47ad420c-9302-4a4f-a35f-7dd29e1d9d28 | LangChain | AI Engineer, Enablement | New York, NY · Atlanta, GA · Atlanta · United States · Philadelphia, PA · Philadelphia · Tampa, FL · Tampa · Nashville, TN · Nashville · Boston, MA · Cambridge · Washington DC · Charlotte, NC · Charlotte · Remote | posted: 2026-08-26
- [ ] https://jobs.ashbyhq.com/langchain/d3f8de08-2e2b-4c3f-be1f-e63ca51f1d93 | LangChain | Principal Software Engineer, AI Observability & Evals Platform | Boston, MA | posted: 2026-05-13
- [ ] https://jobs.ashbyhq.com/langchain/dfbba971-a7e2-4feb-a0d9-8e38a1155134 | LangChain | Deployed Engineer (Early Career-NYC) | New York, NY | posted: 2026-08-17
- [ ] https://jobs.ashbyhq.com/langchain/0f35c8e1-9318-411d-929b-04c60e6d8522 | LangChain | Deployed Engineer (Early Career- SF) | San Francisco, CA | posted: 2026-08-17
- [ ] https://jobs.ashbyhq.com/langchain/385313eb-bff4-4019-8106-42714dc9879a | LangChain | Deployed Engineer (Houston) | Houston, TX · Remote | posted: 2026-08-03
- [ ] https://jobs.ashbyhq.com/langchain/98fcaa18-d323-49cd-b231-b2d4b905419d | LangChain | Solutions Engineer (Chicago) | Chicago, IL · Remote | posted: 2026-08-18
- [ ] https://jobs.ashbyhq.com/langchain/df7a4d66-2159-4dff-b5ff-92f6e835f242 | LangChain | Solutions Engineer (Texas) | Dallas, TX · Austin, TX · Austin · United States · Remote | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/langchain/886be84d-b56a-4260-a8dc-87992640293d | LangChain | Business Systems Analyst, GTM Systems | San Francisco, CA | posted: 2026-08-20
- [ ] https://jobs.ashbyhq.com/langchain/c450c07a-196e-4ad4-9938-f368eb0ba65d | LangChain | Deployed Engineer, Professional Services (San Francisco) | San Francisco, CA | posted: 2026-08-27
- [ ] https://jobs.ashbyhq.com/sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f | Sierra | Product Manager, Agent Data Platform | San Francisco, CA | posted: 2025-08-31
- [ ] https://jobs.ashbyhq.com/sierra/effd7cd2-8a28-4bae-a3b8-40720ba09717 | Sierra | Product Manager, Agent Development | San Francisco, CA · New York, NY · New York · United States | posted: 2026-03-12
- [ ] https://jobs.ashbyhq.com/sierra/b7d1dbcd-ca72-472f-b15e-5b4b0f886be0 | Sierra | Software Engineer, Agent | London | posted: 2025-02-13
- [ ] https://jobs.ashbyhq.com/sierra/fed8ca9a-0bb7-44ef-a541-0be6a8ae7bba | Sierra | Product Manager, Agent Development (German speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/b3829801-8e0b-4047-8cd8-8a51c87028fd | Sierra | Software Engineer, Agent Architecture | San Francisco, CA | posted: 2026-03-27
- [ ] https://jobs.ashbyhq.com/sierra/742020b7-5a2a-495d-8ac9-d74d31dc91c6 | Sierra | IT Infrastructure Engineer | San Francisco, CA | posted: 2026-08-21
- [ ] https://jobs.ashbyhq.com/sierra/548eccd8-85c7-4cfa-a145-1c6ba5c17dc2 | Sierra | Strategist, Agent Development | London | posted: 2025-06-12
- [ ] https://jobs.ashbyhq.com/sierra/38f06024-4ee9-47d6-a36f-f2791ac1e412 | Sierra | Product Manager, Agent Development (French speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/4892f01e-8871-4b32-8963-527f1cf8db5d | Sierra | Product Manager, Agent Development (Spanish speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/9ebc3a79-82bf-478d-bd98-d473d41bdeaf | Sierra | Software Engineer, Agent (German speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/9d9e7d4a-2a27-4f64-9b1f-d79c5d3f129a | Sierra | Software Engineer, Agent (French speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/aadfc0a0-93f6-454b-9767-c24793fa3eff | Sierra | Software Engineer, Agent (Spanish speaking) | London | posted: 2025-08-21
- [ ] https://jobs.ashbyhq.com/sierra/3914e14a-2339-4d49-97e8-3a0de793cfb1 | Sierra | Software Engineer, Site Reliability (SRE) | San Francisco, CA | posted: 2025-10-21
- [ ] https://jobs.ashbyhq.com/sierra/2dee25a0-a0c1-425e-b67a-9d49fc821369 | Sierra | Engineering Manager, Agent | New York, NY · San Francisco, CA · San Francisco · United States | posted: 2026-08-11
- [ ] https://jobs.ashbyhq.com/sierra/8d46d44c-8294-4807-a6b1-5087f0506a38 | Sierra | Strategist, Agent Development (Spanish speaking) | Madrid | posted: 2025-10-24
- [ ] https://jobs.ashbyhq.com/sierra/b1fc320b-d0d2-4ca5-9ce3-2ce8f51cf70e | Sierra | Strategist, Agent Development (French speaking) | Paris · Remote | posted: 2025-10-24
- [ ] https://jobs.ashbyhq.com/sierra/6207b02d-d334-4000-b84e-2af779171838 | Sierra | Software Engineer, Agent (Italian speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/9dc1651d-43e9-4970-a757-a5223cef1c4d | Sierra | Product Manager, Agent Development (Arabic speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/1045b1db-228b-40df-97d8-a8f9371d35bd | Sierra | Strategist, Agent Development (German speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/034c2c56-357f-4ed2-9da7-f4d36a999385 | Sierra | Strategist, Agent Development (Arabic speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/2e07f536-bbaa-4cc0-957a-774ddf99de64 | Sierra | Product Manager, Agent Development (Italian speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/ce463311-0c6c-43d9-ab79-dd751743104f | Sierra | Software Engineer, Agent (Arabic speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/0e73be8d-e05f-4c47-aa74-416b2984334c | Sierra | Strategist, Agent Development (Italian speaking) | London | posted: 2025-12-04
- [ ] https://jobs.ashbyhq.com/sierra/ab15547e-5c50-48a8-a560-f56c7bdad587 | Sierra | Strategist, Agent Development (Cantonese Speaking) | Singapore | posted: 2026-05-19
- [ ] https://jobs.ashbyhq.com/sierra/bc98b50a-d6ea-42b8-b1c6-f55099d1bb1c | Sierra | Product Manager, Agent Development - Financial Services | San Francisco, CA · New York, NY · New York · United States | posted: 2026-08-30
- [ ] https://jobs.ashbyhq.com/sierra/10d2e2f1-6657-40c9-b6fb-6999c76df6cf | Sierra | Product Manager, Agent SDK | San Francisco, CA | posted: 2026-02-07
- [ ] https://jobs.ashbyhq.com/sierra/1a0e307f-7f02-4971-820c-a244ad909617 | Sierra | Agent Experience Designer, Voice (Multilingual) | San Francisco, CA | posted: 2026-02-10
- [ ] https://jobs.ashbyhq.com/sierra/2a76bb97-2719-413c-94ad-775553e63abd | Sierra | Strategist, Agent Development - Financial Services | San Francisco, CA · New York, NY · New York · United States | posted: 2026-07-22
- [ ] https://jobs.ashbyhq.com/sierra/ebe951fb-8e8d-4bff-a499-e19010018f3b | Sierra | Strategist, Agent Development - Healthcare | San Francisco, CA · New York, NY · New York · United States | posted: 2026-02-28
- [ ] https://jobs.ashbyhq.com/sierra/eb3ee157-3d2a-412a-88a2-e2cfc5647a66 | Sierra | Software Engineer, Agent - Healthcare | San Francisco, CA · New York, NY · New York · United States | posted: 2026-03-09
- [ ] https://jobs.ashbyhq.com/sierra/85e1d0f9-e0d5-4a82-9b30-fa4372e32872 | Sierra | GTM Operations Analyst, Agent Development | San Francisco, CA | posted: 2026-07-21
- [ ] https://jobs.ashbyhq.com/sierra/65eb2c63-c936-4e8e-87e7-ea080dcdca73 | Sierra | Product Manager, Agent Development - Healthcare | San Francisco, CA · New York, NY · New York · United States | posted: 2026-02-28
- [ ] https://jobs.ashbyhq.com/sierra/5aaa2eeb-92bc-4b0a-901e-8e091eff819e | Sierra | Product Manager, Agent Studio | San Francisco, CA | posted: 2026-04-15
- [ ] https://jobs.ashbyhq.com/sierra/b8a89b9a-70a1-4e47-874c-41542d1bc60a | Sierra | Software Engineer, Agent (Korean Speaking) | Singapore | posted: 2026-04-17
- [ ] https://jobs.ashbyhq.com/sierra/1162dcd2-b181-49d5-9316-342cd68acbed | Sierra | Software Engineer, Agent (Thai Speaking) | Singapore | posted: 2026-04-17
- [ ] https://jobs.ashbyhq.com/sierra/2d638355-ee46-44ce-a239-844b9234ba6d | Sierra | Forward Deployed Infrastructure Engineer (Spanish speaking) | London | posted: 2026-08-11
- [ ] https://jobs.ashbyhq.com/sierra/d9c0aa93-e35d-4752-9cef-4c39dcad5365 | Sierra | Deployed Infrastructure Engineer | San Francisco, CA · New York, NY · New York · United States | posted: 2026-04-21
- [ ] https://jobs.ashbyhq.com/sierra/5ea8d56f-09b5-4113-9929-a3ef42d010ef | Sierra | AI Voice Designer | London | posted: 2026-05-05
- [ ] https://jobs.ashbyhq.com/sierra/56fe4918-7463-46b6-89aa-7ea2fc92a2a3 | Sierra | People Partner, Agent Development | San Francisco, CA | posted: 2026-06-24
- [ ] https://jobs.ashbyhq.com/sierra/78c5dce4-3670-4c9b-a666-98f435c56324 | Sierra | Software Engineer, Agent Data Platform | San Francisco, CA | posted: 2026-06-05
- [ ] https://jobs.ashbyhq.com/sierra/9b70b937-9634-4bcd-a10e-2671145f3a07 | Sierra | Software Engineer, Agent Builder | San Francisco, CA | posted: 2026-06-05
- [ ] https://jobs.ashbyhq.com/sierra/4f0e65ba-b262-4d79-b926-3988f8eb0c00 | Sierra | Product Manager, Agent Development (Brazilian Portuguese speaking) | San Francisco, CA · New York, NY · New York · United States | posted: 2026-06-18
- [ ] https://jobs.ashbyhq.com/sierra/ae8840cd-f46e-4c96-87b1-53fedf40f94d | Sierra | Software Engineer, Agent (Dutch speaking) | London | posted: 2026-06-10
- [ ] https://jobs.ashbyhq.com/sierra/611a6f2c-b6f8-4dfd-9ae8-4b0b986ac258 | Sierra | Strategist, Agent Development (Dutch speaking) | London | posted: 2026-06-10
- [ ] https://jobs.ashbyhq.com/sierra/b37a6f9e-53c7-4c47-beb5-1ab4451f3001 | Sierra | Software Engineer, Agent (Cantonese Speaking) | Singapore | posted: 2026-06-12
- [ ] https://jobs.ashbyhq.com/sierra/758beaca-db59-4e46-9867-7a93989735a7 | Sierra | Product Manager, Agent Development - Flagship Deployment | San Francisco, CA · New York, NY · New York · United States | posted: 2026-06-17
- [ ] https://jobs.ashbyhq.com/sierra/d7febb53-07d2-44fb-8cd0-7e5a011fdf24 | Sierra | Strategist, Agent Development (Brazilian Portuguese speaking) | San Francisco, CA · New York, NY · New York · United States | posted: 2026-06-22
- [ ] https://jobs.ashbyhq.com/sierra/f51d6c09-d767-4e86-bc62-216b2051e318 | Sierra | Software Engineer, Agent (Brazilian Portuguese speaking) | San Francisco, CA · New York, NY · New York · United States | posted: 2026-06-22
- [ ] https://jobs.ashbyhq.com/sierra/ab98160c-9918-483c-af74-310535448972 | Sierra | Software Engineer, Agent - Financial Services | San Francisco, CA · New York, NY · New York · United States · Atlanta, GA · Atlanta | posted: 2026-07-02
- [ ] https://jobs.ashbyhq.com/sierra/61bb1eca-b416-4e6d-a0ac-5f418b35a8f3 | Sierra | Forward Deployed Infrastructure Engineer | London | posted: 2026-06-23
- [ ] https://jobs.ashbyhq.com/sierra/000618f7-e0d0-43dc-ae15-2b20d948852f | Sierra | Software Engineer, Agent - Insurance | San Francisco, CA · New York, NY · New York · United States · Atlanta, GA · Atlanta | posted: 2026-07-02
- [ ] https://jobs.ashbyhq.com/sierra/e2d3e1f5-03cb-4e18-9f3d-a32f0bb6ff91 | Sierra | Software Engineer, Agent - Travel & Hospitality | San Francisco, CA · New York, NY · New York · United States · Atlanta, GA · Atlanta | posted: 2026-07-21
- [ ] https://jobs.ashbyhq.com/sierra/02382d7f-0fb2-4ba3-89af-caf20a448e3a | Sierra | Strategist, Agent Development - Retail | San Francisco, CA · New York, NY · New York · United States | posted: 2026-07-22
- [ ] https://jobs.ashbyhq.com/sierra/6c246883-6335-413e-9183-ece94780590c | Sierra | Agent Development, Operations | Singapore | posted: 2026-07-30
- [ ] https://jobs.ashbyhq.com/sierra/575cf637-3a7a-4d9c-883c-8b0265811984 | Sierra | Agent Strategist | South Korea | posted: 2026-08-25
- [ ] https://jobs.ashbyhq.com/sierra/93fea91f-a8a2-4084-8113-1cde73344e33 | Sierra | Software Engineer, Agent - Retail | San Francisco, CA | posted: 2026-08-11
- [ ] https://jobs.ashbyhq.com/sierra/4472e6c2-fe4e-4540-a37c-68b9367fe02a | Sierra | Software Engineer, Agent - Tech, Media & Telecom | San Francisco, CA · New York, NY · New York · United States | posted: 2026-08-13
- [ ] https://jobs.ashbyhq.com/sierra/c66b30fc-9588-4699-85c1-2166b23b8778 | Sierra | Software Engineer, Agent - Public Sector | San Francisco, CA · New York, NY · New York · United States | posted: 2026-08-24
- [ ] https://jobs.ashbyhq.com/sierra/bb9153b1-ea92-44bd-b286-59675a043850 | Sierra | Strategist, Agent Development - Public Sector | San Francisco, CA · New York, NY · New York · United States | posted: 2026-08-24
- [ ] https://jobs.ashbyhq.com/sierra/cb841dfe-5d21-44ae-8496-fca6b5587ae6 | Sierra | Product Manager, Agent Development - Public Sector | San Francisco, CA · New York, NY · New York · United States | posted: 2026-08-24
- [ ] https://jobs.ashbyhq.com/cohere/443368a3-6276-4b90-9671-27fed40fd6d2 | Cohere | Senior Member of Technical Staff, Multimodal AI | San Francisco · New York · United States · Paris · France · Toronto · Canada · Montreal · Remote | posted: 2024-12-03
- [ ] https://jobs.ashbyhq.com/cohere/6d0f0753-ff22-46fd-90e9-08998914a8e7 | Cohere | Solutions Architect - Public Sector | Washington, DC | posted: 2026-03-19
- [ ] https://jobs.ashbyhq.com/cohere/2d256112-b336-4539-8133-a0bf7f6698f0 | Cohere | Forward Deployed Engineer, Agentic Platform (UK/Europe) | Europe · Brussels · Belgium · Munich · Germany · London · United Kingdom · Edinburgh · Paris · France · Berlin · Frankfurt | posted: 2026-05-12
- [ ] https://jobs.ashbyhq.com/cohere/69a9ab2e-a7eb-4c4f-825a-5c25cf063900 | Cohere | Forward Deployed Engineer, Infrastructure Specialist (Europe/Middle East) | United Kingdom · Dubai · United Arab Emirates · Brussels · Belgium · Europe · European Union · Munich · Germany · Saudi Arabia · London · Edinburgh · Paris · France · Berlin · Middle East · Riyadh · Frankfurt · Remote | posted: 2025-12-10
- [ ] https://jobs.ashbyhq.com/cohere/be48aafc-9610-4ebd-8414-a0722a3cd59a | Cohere | Forward Deployed Engineer, Infrastructure Specialist (North America) | Toronto · Canada · Vancouver · Ottawa · Montreal | posted: 2026-08-28
